Ano;Departamentos;Distritos;provincia;Región natural;Maxepi Week;Semana;Maxyear;Muerte Mat;Geometría;Mmaterna1;Mmaterna2
2016;AREQUIPA;CERRO COLORADO;AREQUIPA;SIERRA;16;2;2021;1;Polygon;;1
2018;AREQUIPA;CERRO COLORADO;AREQUIPA;SIERRA;16;4;2021;1;Polygon;;1
2012;AREQUIPA;CERRO COLORADO;AREQUIPA;SIERRA;16;6;2021;1;Polygon;;1
2015;AREQUIPA;CERRO COLORADO;AREQUIPA;SIERRA;16;2;2021;1;Polygon;;1
2014;AREQUIPA;MIRAFLORES;AREQUIPA;SIERRA;16;9;2021;1;Polygon;;1
2018;AREQUIPA;MIRAFLORES;AREQUIPA;SIERRA;16;41;2021;1;Polygon;;1
2015;AREQUIPA;VITOR;AREQUIPA;COSTA;16;44;2021;1;Polygon;;1
2012;AREQUIPA;SACHACA;AREQUIPA;SIERRA;16;16;2021;1;Polygon;;1
2017;AREQUIPA;CERRO COLORADO;AREQUIPA;SIERRA;16;15;2021;1;Polygon;;1
2016;AREQUIPA;CERRO COLORADO;AREQUIPA;SIERRA;16;12;2021;1;Polygon;1;
2013;AREQUIPA;JACOBO HUNTER;AREQUIPA;SIERRA;16;39;2021;1;Polygon;1;
2015;AREQUIPA;YURA;AREQUIPA;SIERRA;16;22;2021;1;Polygon;1;
2012;AREQUIPA;CHAPARRA;CARAVELI;COSTA;16;52;2021;1;Polygon;1;
2012;AYACUCHO;SANCOS;LUCANAS;SIERRA;16;18;2021;1;Polygon;1;
2017;AREQUIPA;APLAO;CASTILLA;COSTA;16;4;2021;1;Polygon;;1
2013;AREQUIPA;CHILCAYMARCA;CASTILLA;SIERRA;16;42;2021;1;Polygon;1;
2014;AREQUIPA;CAYLLOMA;CAYLLOMA;SIERRA;16;41;2021;1;Polygon;1;
2012;AREQUIPA;CAYLLOMA;CAYLLOMA;SIERRA;16;2;2021;1;Polygon;1;
2017;AREQUIPA;LA JOYA;AREQUIPA;COSTA;16;43;2021;1;Polygon;1;
2013;AREQUIPA;MAJES;CAYLLOMA;COSTA;16;15;2021;1;Polygon;1;
2014;AREQUIPA;MOLLENDO;ISLAY;COSTA;16;8;2021;1;Polygon;;1
